OBJECTID,FIREID,COUNT,AREA,SUM
95,20627,27106,24395400.000000000000000,1826997061.080810546875000
96,20637,1428,1285200.000000000000000,359911252.445739746093750
97,20643,8186,7367400.000000000000000,39122280.275878906250000
98,20652,411072,369964800.000000000000000,91591265757.336120605468750
99,20654,1516,1364400.000000000000000,14696179.200439453125000
100,20656,5705,5134500.000000000000000,32720386.808593750000000
101,20663,72576,65318400.000000000000000,4893231498.084960937500000
102,20671,38529,34676100.000000000000000,5943200271.386615753173828
103,20704,31688,28519200.000000000000000,414289055.707275390625000
104,20705,34551,31095900.000000000000000,2351663510.239593505859375
105,20706,33964,30567600.000000000000000,6108885706.361404418945313
106,20707,164167,147750300.000000000000000,14898073288.921478271484375
107,20708,139134,125220600.000000000000000,30625739635.988937377929688
108,20709,2208,1987200.000000000000000,456230854.983604431152344
109,20712,3164,2847600.000000000000000,23907191.486816406250000
