OBJECTID,FIREID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8
41,20453,10516500.000000000000000,24032700.000000000000000,807300.000000000000000,333900.000000000000000,15300.000000000000000,382500.000000000000000,12600.000000000000000,9000.000000000000000
42,20460,0.000000000000000,0.000000000000000,1948500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
43,20461,0.000000000000000,1222200.000000000000000,0.000000000000000,0.000000000000000,261000.000000000000000,21600.000000000000000,0.000000000000000,0.000000000000000
44,20462,0.000000000000000,19711800.000000000000000,4257000.000000000000000,11700.000000000000000,449100.000000000000000,628200.000000000000000,16200.000000000000000,426600.000000000000000
45,20470,5670000.000000000000000,43487100.000000000000000,43136100.000000000000000,3600.000000000000000,0.000000000000000,105549300.000000000000000,3600.000000000000000,0.000000000000000
46,20471,0.000000000000000,0.000000000000000,18338400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
47,20476,0.000000000000000,3549600.000000000000000,37602900.000000000000000,13500.000000000000000,0.000000000000000,3948300.000000000000000,0.000000000000000,0.000000000000000
48,20477,0.000000000000000,1972800.000000000000000,3836700.000000000000000,0.000000000000000,0.000000000000000,505800.000000000000000,0.000000000000000,0.000000000000000
49,20478,0.000000000000000,134100.000000000000000,82800.000000000000000,0.000000000000000,0.000000000000000,1227600.000000000000000,0.000000000000000,0.000000000000000
50,20485,10745100.000000000000000,2658600.000000000000000,0.000000000000000,68400.000000000000000,0.000000000000000,180000.000000000000000,0.000000000000000,0.000000000000000
51,20486,49509900.000000000000000,6521400.000000000000000,742500.000000000000000,974700.000000000000000,0.000000000000000,16844400.000000000000000,260100.000000000000000,0.000000000000000
52,20487,0.000000000000000,866700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3261600.000000000000000
53,20490,10994400.000000000000000,6192000.000000000000000,297900.000000000000000,64800.000000000000000,0.000000000000000,351000.000000000000000,0.000000000000000,0.000000000000000
54,20491,6238800.000000000000000,529200.000000000000000,46800.000000000000000,227700.000000000000000,0.000000000000000,0.000000000000000,18900.000000000000000,0.000000000000000
55,20492,1016100.000000000000000,73800.000000000000000,22500.000000000000000,144000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
56,20493,1898100.000000000000000,167400.000000000000000,900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
57,20499,6139800.000000000000000,501300.000000000000000,0.000000000000000,5400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
58,20500,2781000.000000000000000,256500.000000000000000,942300.000000000000000,0.000000000000000,0.000000000000000,2189700.000000000000000,0.000000000000000,0.000000000000000
59,20503,83612700.000000000000000,1098900.000000000000000,150300.000000000000000,9900.000000000000000,900.000000000000000,1384200.000000000000000,0.000000000000000,0.000000000000000
60,20504,1287000.000000000000000,1800.000000000000000,900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
61,20508,15611400.000000000000000,367200.000000000000000,43200.000000000000000,43200.000000000000000,11700.000000000000000,1041300.000000000000000,41400.000000000000000,0.000000000000000
62,20509,5796000.000000000000000,768600.000000000000000,2980800.000000000000000,185400.000000000000000,0.000000000000000,2954700.000000000000000,900.000000000000000,0.000000000000000
63,20511,16814700.000000000000000,43450200.000000000000000,1285200.000000000000000,469800.000000000000000,0.000000000000000,2047500.000000000000000,1800.000000000000000,0.000000000000000
64,20512,40583700.000000000000000,26664300.000000000000000,3713400.000000000000000,714600.000000000000000,0.000000000000000,76514400.000000000000000,2700.000000000000000,0.000000000000000
65,20513,116100.000000000000000,3261600.000000000000000,886500.000000000000000,83700.000000000000000,0.000000000000000,999900.000000000000000,0.000000000000000,0.000000000000000
66,20514,64534500.000000000000000,7303500.000000000000000,1287000.000000000000000,3392100.000000000000000,0.000000000000000,13500.000000000000000,3600.000000000000000,0.000000000000000
67,20515,0.000000000000000,518400.000000000000000,3482100.000000000000000,91800.000000000000000,0.000000000000000,2059200.000000000000000,0.000000000000000,0.000000000000000
68,20516,0.000000000000000,2442600.000000000000000,1094400.000000000000000,76500.000000000000000,0.000000000000000,1580400.000000000000000,0.000000000000000,0.000000000000000
69,20523,1480500.000000000000000,595800.000000000000000,92700.000000000000000,0.000000000000000,0.000000000000000,301500.000000000000000,0.000000000000000,0.000000000000000
70,20524,44987400.000000000000000,1344600.000000000000000,245700.000000000000000,84600.000000000000000,0.000000000000000,3344400.000000000000000,54900.000000000000000,0.000000000000000
71,20529,43062300.000000000000000,8734500.000000000000000,1668600.000000000000000,333900.000000000000000,0.000000000000000,216900.000000000000000,20700.000000000000000,0.000000000000000
72,20534,5400.000000000000000,3244500.000000000000000,87300.000000000000000,127800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
73,20540,15377400.000000000000000,1740600.000000000000000,0.000000000000000,130500.000000000000000,0.000000000000000,316800.000000000000000,0.000000000000000,0.000000000000000
74,20542,1538100.000000000000000,189900.000000000000000,0.000000000000000,3600.000000000000000,0.000000000000000,71100.000000000000000,0.000000000000000,0.000000000000000
75,20546,0.000000000000000,51075000.000000000000000,1229400.000000000000000,248400.000000000000000,127800.000000000000000,21788100.000000000000000,52200.000000000000000,0.000000000000000
76,20549,13390200.000000000000000,879136200.000000000000000,57819600.000000000000000,11214900.000000000000000,10448100.000000000000000,139039200.000000000000000,1949400.000000000000000,27414900.000000000000000
77,20551,29752200.000000000000000,6349500.000000000000000,900.000000000000000,139500.000000000000000,0.000000000000000,701100.000000000000000,900.000000000000000,0.000000000000000
78,20557,5299200.000000000000000,1142100.000000000000000,16200.000000000000000,6300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
79,20561,198298800.000000000000000,51423300.000000000000000,963900.000000000000000,3473100.000000000000000,0.000000000000000,3684600.000000000000000,284400.000000000000000,0.000000000000000
80,20573,0.000000000000000,3384900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,125100.000000000000000,0.000000000000000,0.000000000000000
81,20577,5683500.000000000000000,299700.000000000000000,0.000000000000000,22500.000000000000000,3600.000000000000000,89100.000000000000000,0.000000000000000,0.000000000000000
