"","X1","OBJECTID","DEM_MEAN","DEM_STD","slope_MEAN","slope_STD","aspect_MEAN","aspect_STD","LiveBio_MEAN","LiveBio_STD","DeadBio_MEAN","DeadBio_STD","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","COMMENTS","REPORT_AC","GIS_ACRES","C_METHOD","OBJECTIVE","FIRE_NUM","Shape_Leng","Shape_Area","stn_1","stn_2","stn_3","month_temp","week_temp","dur_temp","month_precip","week_precip","month_humid","week_humid","dur_humid","month_sol","week_sol","wind_speed","dbr_means","fireduration","pred_dbr","step_dbr","lasso_dbr"
"23",22,20523,2342.55282489006,177.818814003439,20.3278260305008,6.4668297599204,167.152959188753,37.4147342622137,207701.809694211,155497.950811633,13210.9812832917,19708.4521715299,"USF","SNF","BUTTE","00001476","2017/08/07 00:00:00.000","2017/11/04 00:00:00.000",1,"CONT_DATE  based on FIRESTAT Fire Out Date/Time",611,611.201477050781,3,1,NA,7319.22106489001,2473444.65187989,"Devils Post Pile            ","Mount Tom                   ","Minarets                    ",62.4,62,52.876404494382,0.47,0.47,48.2,51,42.1011235955056,583.7,542.875,6.74831460674157,143.261265648261,7689600,139.698722599294,77.5290164530997,259.124292426943
"24",23,20557,1558.48662682915,192.895773891847,28.7587725937017,9.22430957574504,183.640473840853,125.115769854456,224976.901615034,150634.590766705,347.486811622186,2103.15856985444,"USF","KNF","ISLAND","00004540","2017/06/26 00:00:00.000","2017/09/01 00:00:00.000",1,"CONT_DATE  based on FIRESTAT Fire Out Date/Time",13497,1594.03381347656,3,1,NA,20726.8378234245,6450825.82974282,"Sawyers Bar                 ","Blue Ridge (KNF)            ","Quartz Hill                 ",67.4642857142857,79.8571428571429,75.9827586206897,1.21,0,52.8214285714286,39.8571428571429,40.1724137931034,617.642857142857,686.142857142857,4.87586206896552,41.3141652354767,5788800,146.901445059296,160.881543875271,259.124292426943
"25",24,20303,577.500143816326,65.2342800673165,10.8511500098039,6.58241720932703,158.6539886851,83.1427150555551,54856.4139733135,59064.1448794985,0,0,"CDF","MMU","BEN","00013022","2017/06/28 00:00:00.000","2017/07/06 00:00:00.000",10,NA,NA,558.142517089844,1,1,NA,12357.6936276148,2258722.62064337,"Mariposa                    ","Metcalf Gap                 ","Catheys Valley              ",74.0322580645161,82.375,79.3333333333333,0.48,0,46.7096774193548,39.625,39.2222222222222,638.766666666667,685.375,4.38888888888889,251.798583570199,691200,329.19119600639,338.181084484795,259.124292426943
"26",25,20491,2108.29619458402,91.5062179749254,14.2484018431747,7.12571232484059,208.828579294195,96.012367870849,192069.346187417,136343.221789617,28804.0197003838,37178.0589362675,"USF","STF","CREEK","00002590","2017/09/03 00:00:00.000","2017/09/12 00:00:00.000",1,"CONT_DATE  based on FIRESTAT Fire Out Date/Time",1609,1747.86950683594,1,1,NA,26407.1150999127,7073376.85615843,"Pinecrest 2                 ","Bald Mountain PAL           ","Double Dome                 ",68.8709677419355,74,66.4444444444444,0.06,0.03,44.258064516129,31.125,56.4444444444444,549.645161290323,510.5,3.37777777777778,30.7991480642489,777600,125.162058140366,68.3949867798848,259.124292426943
"27",26,20184,1072.22608566599,86.5241607298436,18.9265175765167,7.87177997075809,160.602057053649,94.7239214411668,23935.8328988646,41743.7087628474,0,0,"CDF","SKU","FAY","00004779","2017/07/05 00:00:00.000","2017/07/05 00:00:00.000",9,"Dumping hot ash",469,469.355926513672,1,1,NA,8543.43332197655,1899416.08717804,"Callahan 2                  ","Callahan                    ","Sawyers Bar                 ",69,75.25,76,0.62,0,43.8064516129032,33.375,25,660.064516129032,726.875,9.7,272.011368508823,43200,312.577813713258,295.424448638343,259.124292426943
"28",27,20617,1270.72140743108,21.7383532842847,5.16908323090108,7.08409564399732,226.692601060607,64.8961556072837,90.8417887787126,1369.67737757959,0,0,"USF","MDF","BATTLE","00000415","2017/06/28 00:00:00.000","2017/07/01 00:00:00.000",2,NA,640,653.507934570312,8,1,NA,14766.1997293286,2644652.81849682,"Klamath Basin NWR           ","Indian Well                 ","Timber Mountain             ",63.5,71.625,69.75,1.21,0,47.448275862069,31.4285714285714,34,611.448275862069,741.428571428571,6.475,117.608358819993,259200,110.774079822587,128.253836382758,259.124292426943
"29",28,20581,756.576726764416,195.469621310126,26.5010035056119,11.1079416702263,208.630271148428,66.7712570336572,8769.5872516276,41803.740728161,0,0,"USF","BDF","MART","00009802","2017/06/27 00:00:00.000","2017/07/08 00:00:00.000",7,"CONT_DATE  based on FIRESTAT Fire Out Date/Time",670,669.208679199219,8,1,NA,12062.9088843654,2708191.50765611,"Heaps Peak                  ","Mill Creek (BDF)            ","Rock Camp                   ",65.9,74.5,71,0.02,0,34.1333333333333,20.875,26,729.766666666667,761,11.0416666666667,273.976341148897,950400,299.015629625536,266.648222117072,259.124292426943
"30",29,20499,1495.73868669203,242.853150154879,29.4614512012487,8.6175521368099,162.092070869145,67.2486212032097,190928.634245861,190121.756691204,2113.88058910751,7084.37970277164,"USF","SRF","BURNEY","00000752","2017/07/26 00:00:00.000","2017/10/16 00:00:00.000",1,NA,1642,1643.64331054688,8,1,NA,18092.6069157887,6651588.33182373,"Dutch-Indy                  ","Somes Bar                   ","Happy Camp Micro            ",74.9310344827586,74.875,67.4578313253012,0.01,0.01,44.448275862069,49.125,49.2650602409639,705.758620689655,643.5,4.63253012048193,303.390164360822,7084800,249.395482039215,255.587868077249,259.124292426943
"31",30,20381,288.176228091274,62.0212830428576,21.6742729221363,9.05435915209958,123.171743646988,73.2565700118379,1965.96136937593,6386.64984398482,0,0,"CCO","KRN","MING","01718713","2017/05/20 00:00:00.000","2017/05/20 00:00:00.000",14,"CA-KRN-018713",NA,449.778076171875,1,1,NA,8997.46647663736,1820187.33421312,"Democrat                    ","Breckenridge                ","Delonagha                   ",61.7586206896552,60.4285714285714,72,0.04,0.01,50.6333333333333,46.5,32,539.166666666667,575.625,3.3,378.516543521719,43200,385.135435473728,391.635346145449,259.124292426943
"32",31,20273,666.244979250242,35.4715178008599,11.1313858629539,6.06456548191925,172.285489571881,81.0879351077639,128953.541854997,85040.8822769331,1185.9735926859,4983.32067979558,"CDF","NEU","PLEASANT","00022877","2017/08/30 00:00:00.000","2017/09/06 00:00:00.000",14,NA,392,392.485229492188,1,1,NA,6529.48483413477,1588331.33669788,"Reader Ranch                ","Dorris Ranch                ","Pike County Lookout         ",80.8064516129032,83.625,83.75,0.02,0,41.0967741935484,29.75,34.25,557.290322580645,549.625,3.35,652.20760560075,604800,252.769095679199,267.310717006889,259.124292426943
